138657	"Tuple{Type{Base.Dict{K, V} where V where K}, Base.Pair{Symbol, String}, Vararg{Base.Pair{A, B} where B where A, N} where N}"
550969	"Tuple{typeof(Base.grow_to!), Base.Dict{Symbol, String}, Tuple{Base.Pair{Symbol, String}, Base.Pair{Symbol, Int64}, Base.Pair{Symbol, Module}}, Int64}"
184373	"Tuple{Type{Base.Dict{K, V} where V where K}, Tuple{Base.Pair{Symbol, String}, Base.Pair{Symbol, Int64}, Base.Pair{Symbol, Module}}}"
249071	"Tuple{typeof(Base.grow_to!), Base.Dict{Symbol, Any}, Tuple{Base.Pair{Symbol, String}, Base.Pair{Symbol, Int64}, Base.Pair{Symbol, Module}}, Int64}"
72551	"Tuple{typeof(Base.Docs.docstr), Any, Any}"
102291	"Tuple{typeof(Base.Docs._docstr), Core.SimpleVector, Any}"
154008	"Tuple{typeof(Base.haskey), Base.IdDict{Any, Any}, Type{T} where T}"
194952	"Tuple{typeof(Base.push!), Array{Type{T} where T, 1}, Type{T} where T}"
316029	"Tuple{typeof(Base.setindex!), Base.Dict{Symbol, Any}, Type{T} where T, Symbol}"
1239227	"Tuple{typeof(Base.explicit_project_deps_get), String, String}"
785851	"Tuple{typeof(Base.project_file_name_uuid_path), String, String}"
306996	"Tuple{typeof(Base.implicit_project_deps_get), String, String}"
119984	"Tuple{typeof(Base.identify_package), String}"
710838	"Tuple{typeof(Base.explicit_manifest_deps_get), String, Base.UUID, String}"
880717	"Tuple{typeof(Base.implicit_manifest_deps_get), String, Base.PkgId, String}"
136878	"Tuple{typeof(Base.manifest_deps_get), String, Base.PkgId, String}"
160716	"Tuple{typeof(Base.identify_package), Base.PkgId, String}"
3891885	"Tuple{typeof(Base.implicit_manifest_uuid_path), String, Base.PkgId}"
535125	"Tuple{typeof(Base.manifest_uuid_path), String, Base.PkgId}"
180560	"Tuple{typeof(Base.locate_package), Base.PkgId}"
6089275	"Tuple{typeof(Base.stale_cachefile), String, String}"
1293497	"Tuple{typeof(Base._tryrequire_from_serialized), Base.PkgId, UInt64, String}"
495930	"Tuple{typeof(Base._require_search_from_serialized), Base.PkgId, String}"
1917204	"Tuple{typeof(Base._tryrequire_from_serialized), Base.PkgId, UInt64, Nothing}"
148680	"Tuple{typeof(Base._require_from_serialized), String}"
744349	"Tuple{typeof(Base._require), Base.PkgId}"
159865	"Tuple{typeof(Base.require), Base.PkgId}"
337434	"Tuple{typeof(Base.require), Module, Symbol}"
2580032	"Tuple{getfield(Base, Symbol("##643#644")){String, String}, Base.IOStream}"
193975	"Tuple{getfield(Base, Symbol("##open#296")), Base.Iterators.Pairs{Union{}, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, Function, getfield(Base, Symbol("##643#644")){String, String}, String}"
1695438	"Tuple{getfield(Base, Symbol("##639#640")){String}, Base.IOStream}"
111117	"Tuple{getfield(Base, Symbol("##open#296")), Base.Iterators.Pairs{Union{}, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, Function, getfield(Base, Symbol("##639#640")){String}, String}"
1062918	"Tuple{getfield(Base, Symbol("##641#642")){String}, Base.IOStream}"
104504	"Tuple{getfield(Base, Symbol("##open#296")), Base.Iterators.Pairs{Union{}, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, Function, getfield(Base, Symbol("##641#642")){String}, String}"
2729447	"Tuple{getfield(Base, Symbol("##647#648")){String, Base.PkgId}, Base.IOStream}"
117905	"Tuple{getfield(Base, Symbol("##open#296")), Base.Iterators.Pairs{Union{}, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, Function, getfield(Base, Symbol("##647#648")){String, Base.PkgId}, String}"
3749278	"Tuple{typeof(Base.manifest_file_name_uuid), String, String, Base.IOStream}"
1140464	"Tuple{getfield(Base, Symbol("##645#646")){String, Base.UUID, String}, Base.IOStream}"
191302	"Tuple{getfield(Base, Symbol("##open#296")), Base.Iterators.Pairs{Union{}, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, Function, getfield(Base, Symbol("##645#646")){String, Base.UUID, String}, String}"
377858	"Tuple{typeof(Base.isassigned), Core.SimpleVector, Int64}"
313558	"Tuple{typeof(Parsers.__init__)}"
954626	"Tuple{typeof(Base.GMP.MPZ.set), Base.GMP.BigInt}"
161254	"Tuple{typeof(Base.deepcopy_internal), Base.GMP.BigInt, Base.IdDict{Any, Any}}"
188648	"Tuple{typeof(Base.Threads.resize_nthreads!), Array{Base.GMP.BigInt, 1}, Base.GMP.BigInt}"
340036	"Tuple{typeof(Base.foreach), getfield(Parsers, Symbol("##33#38")), Array{Base.GMP.BigInt, 1}}"
321629	"Tuple{typeof(Base.foreach), getfield(Parsers, Symbol("##34#39")), Array{Base.GMP.BigInt, 1}}"
341192	"Tuple{typeof(Base.foreach), getfield(Parsers, Symbol("##35#40")), Array{Base.GMP.BigInt, 1}}"
297441	"Tuple{typeof(Base.foreach), getfield(Parsers, Symbol("##36#41")), Array{Base.GMP.BigInt, 1}}"
300839	"Tuple{typeof(Base.foreach), getfield(Parsers, Symbol("##37#42")), Array{Base.GMP.BigInt, 1}}"
342912	"Tuple{typeof(Base.isassigned), Core.SimpleVector, Int64}"
443394	"Tuple{typeof(JLD.__init__)}"
1259752	"Tuple{typeof(Base.rehash!), Base.Dict{String, Type{T} where T}, Int64}"
1307221	"Tuple{typeof(Base.rehash!), Base.Dict{Type{T} where T, Nothing}, Int64}"
1356620	"Tuple{typeof(Base.Docs.docerror), Any}"
317985	"Tuple{typeof(Base.Docs.docm), LineNumberNode, Module, Any, Any, Bool}"
27863	"Tuple{typeof(Base.Docs.docm), LineNumberNode, Module, Any, Any}"
2642081	"Tuple{typeof(Base.print_to_string), String, Vararg{Any, N} where N}"
61842	"Tuple{typeof(Base.Broadcast.throwdm), Tuple{Base.OneTo{Int64}}, Tuple{Base.OneTo{Int64}}}"
198373	"Tuple{typeof(Base.Docs.signature!), Any, Expr}"
786852	"Tuple{typeof(Base.Docs.macroname), Expr}"
299142	"Tuple{typeof(Base.Docs.astname), Expr, Bool}"
26202	"Tuple{typeof(Base.Docs.astname), QuoteNode, Bool}"
32609	"Tuple{typeof(Base.Docs.namify), Any}"
352828	"Tuple{typeof(Base.Docs.splitexpr), Expr}"
21294	"Tuple{typeof(Base.Docs.bindingexpr), Any}"
54946	"Tuple{typeof(Base.Docs.objectdoc), Any, Any, Any, Any, Any, Any}"
979186	"Tuple{typeof(Base.Docs.metadata), Any, Any, Any, Any}"
185082	"Tuple{Type{Base.Dict{K, V} where V where K}, Base.Pair{Symbol, String}, Vararg{Base.Pair{A, B} where B where A, N} where N}"
632697	"Tuple{typeof(Base.grow_to!), Base.Dict{Symbol, String}, Tuple{Base.Pair{Symbol, String}, Base.Pair{Symbol, Int64}, Base.Pair{Symbol, Module}}, Int64}"
200594	"Tuple{Type{Base.Dict{K, V} where V where K}, Tuple{Base.Pair{Symbol, String}, Base.Pair{Symbol, Int64}, Base.Pair{Symbol, Module}}}"
290816	"Tuple{typeof(Base.grow_to!), Base.Dict{Symbol, Any}, Tuple{Base.Pair{Symbol, String}, Base.Pair{Symbol, Int64}, Base.Pair{Symbol, Module}}, Int64}"
87448	"Tuple{typeof(Base.Docs.docstr), Any, Any}"
120667	"Tuple{typeof(Base.Docs._docstr), Core.SimpleVector, Any}"
2086711	"Tuple{typeof(Base._getenv), String}"
1141515	"Tuple{typeof(Base.CoreLogging.env_override_minlevel), String, Module}"
33112	"Tuple{typeof(Base.CoreLogging.current_logger_for_env), Base.CoreLogging.LogLevel, String, Module}"
535221	"Tuple{typeof(Base.Docs.doc!), Module, Base.Docs.Binding, Base.Docs.DocStr, Any}"
142943	"Tuple{typeof(Base.Docs.doc!), Module, Base.Docs.Binding, Base.Docs.DocStr}"
3516505	"Tuple{typeof(Base.PCRE.compile), String, UInt32}"
243286	"Tuple{typeof(Base.compile), Base.Regex}"
609103	"Tuple{typeof(Base.prevind), String, Int64, Int64}"
98054	"Tuple{typeof(Base.findnext), Base.Regex, String, Int64}"
1053744	"Tuple{typeof(Base._split), String, Base.Regex, Int64, Bool, Array{Base.SubString{String}, 1}}"
1182839	"Tuple{typeof(Base.Filesystem.normpath), String}"
839389	"Tuple{typeof(Base.stat), String}"
2242398	"Tuple{typeof(Base.string), String, UInt64}"
89082	"Tuple{typeof(Base.ensureroom), Base.GenericIOBuffer{Array{UInt8, 1}}, UInt64}"
198838	"Tuple{typeof(Base.unsafe_write), Base.GenericIOBuffer{Array{UInt8, 1}}, Ptr{UInt8}, UInt64}"
245208	"Tuple{typeof(Base.print_to_string), Symbol}"
1066466	"Tuple{typeof(Base.throw_checksize_error), Array{UInt8, 1}, Tuple{Base.OneTo{UInt64}}}"
186546	"Tuple{typeof(Base.Checked.throw_overflowerr_binaryop), Symbol, UInt64, UInt64}"
86942	"Tuple{typeof(Base._unsafe_getindex), Base.IndexLinear, Array{UInt8, 1}, Base.UnitRange{UInt64}}"
87249	"Tuple{typeof(Base.Filesystem.pwd)}"
3266539	"Tuple{typeof(Base.match), Base.Regex, String, Int64, UInt32}"
506013	"Tuple{typeof(Base.Filesystem.joinpath), String, String}"
67272	"Tuple{typeof(Base._include_dependency), Module, String}"
714279	"Tuple{typeof(Base.include_relative), Module, String}"
62472	"Tuple{typeof(Base.include), Module, String}"
658461	"Tuple{typeof(Base.Filesystem.splitdir), String}"
24991	"Tuple{typeof(Base.Filesystem.dirname), String}"
504997	"Tuple{getfield(Base, Symbol("##occursin#349")), Int64, Function, Base.Regex, String}"
510949	"Tuple{typeof(Base.write), Base.GenericIOBuffer{Array{UInt8, 1}}, String}"
55439	"Tuple{typeof(Base.join), Base.GenericIOBuffer{Array{UInt8, 1}}, Array{Base.SubString{String}, 1}, String}"
535411	"Tuple{typeof(Base.Docs.moduledoc), Any, Any, Any, Any, Expr}"
313712	"Tuple{typeof(Core.Compiler.getindex), Tuple{Base.Colon, Bool}, Int64}"
3692244	"Tuple{typeof(Base.active_project), Bool}"
747744	"Tuple{typeof(Base.current_project), String}"
46753	"Tuple{typeof(Base.current_project)}"
691549	"Tuple{typeof(Base.load_path_expand), String}"
162983	"Tuple{typeof(Base.load_path)}"
471424	"Tuple{typeof(Base.env_project_file), String}"
242411	"Tuple{typeof(Base.explicit_project_deps_get), String, String}"
800742	"Tuple{typeof(Base.project_file_name_uuid_path), String, String}"
366489	"Tuple{typeof(Base.implicit_project_deps_get), String, String}"
148830	"Tuple{typeof(Base.identify_package), String}"
726193	"Tuple{typeof(Base.explicit_manifest_deps_get), String, Base.UUID, String}"
969068	"Tuple{typeof(Base.implicit_manifest_deps_get), String, Base.PkgId, String}"
130818	"Tuple{typeof(Base.manifest_deps_get), String, Base.PkgId, String}"
175364	"Tuple{typeof(Base.identify_package), Base.PkgId, String}"
943960	"Tuple{typeof(Base.show), Base.GenericIOBuffer{Array{UInt8, 1}}, Module}"
50170	"Tuple{typeof(Base.print), Base.GenericIOBuffer{Array{UInt8, 1}}, Module}"
165705	"Tuple{typeof(Base.print_to_string), Module}"
1190420	"Tuple{typeof(Base.CoreLogging.env_override_minlevel), Nothing, Nothing}"
37723	"Tuple{typeof(Base.CoreLogging.current_logger_for_env), Base.CoreLogging.LogLevel, Nothing, Nothing}"
899806	"Tuple{typeof(Base.unsafe_write), Base.GenericIOBuffer{Array{UInt8, 1}}, Base.RefValue{UInt128}, Int64}"
364520	"Tuple{typeof(Base.binpack), Base.PkgId}"
5660822	"Tuple{typeof(Base.implicit_manifest_uuid_path), String, Base.PkgId}"
833763	"Tuple{typeof(Base.manifest_uuid_path), String, Base.PkgId}"
276230	"Tuple{typeof(Base.entry_path), String, String}"
227778	"Tuple{typeof(Base.locate_package), Base.PkgId}"
1536547	"Tuple{typeof(Base.cache_file_entry), Base.PkgId}"
249084	"Tuple{typeof(Base.find_all_in_cache_path), Base.PkgId}"
4864855	"Tuple{typeof(Base.open), String, String}"
5229967	"Tuple{typeof(Base.stale_cachefile), String, String}"
3617972	"Tuple{typeof(Base.register_root_module), Module}"
218427	"Tuple{typeof(Base._include_from_serialized), String, Array{Any, 1}}"
2479936	"Tuple{typeof(Base._tryrequire_from_serialized), Base.PkgId, UInt64, String}"
1064956	"Tuple{typeof(Base._require_search_from_serialized), Base.PkgId, String}"
6254073	"Tuple{typeof(Base.copyto!), Array{String, 1}, Int64, Array{String, 1}, Int64, Int64}"
154277	"Tuple{typeof(Base.cmd_gen), Tuple{Tuple{String}, Tuple{Base.SubString{String}, String}, Tuple{Base.SubString{String}, String}, Tuple{Base.SubString{String}, String}, Tuple{Base.SubString{String}, String}}}"
211426	"Tuple{typeof(Base.julia_cmd)}"
2132891	"Tuple{typeof(Base.collect_to!), Array{String, 1}, Base.Generator{Array{String, 1}, typeof(Base.Filesystem.abspath)}, Int64, Int64}"
118923	"Tuple{typeof(Base._collect), Array{String, 1}, Base.Generator{Array{String, 1}, typeof(Base.Filesystem.abspath)}, Base.EltypeUnknown, Base.HasShape{1}}"
675413	"Tuple{typeof(Base.load_path_setup_code), Bool}"
1325114	"Tuple{typeof(Base.create_expr_cache), String, String, Array{Base.Pair{Base.PkgId, UInt64}, 1}, Nothing}"
4070655	"Tuple{typeof(Base.write), Base.GenericIOBuffer{Array{UInt8, 1}}, Char}"
1660725	"Tuple{typeof(Base.collect_to!), Array{String, 1}, Base.Generator{Array{String, 1}, getfield(Base, Symbol("##481#484")){Base.GenericIOBuffer{Array{UInt8, 1}}}}, Int64, Int64}"
244933	"Tuple{typeof(Base._collect), Array{String, 1}, Base.Generator{Array{String, 1}, getfield(Base, Symbol("##481#484")){Base.GenericIOBuffer{Array{UInt8, 1}}}}, Base.EltypeUnknown, Base.HasShape{1}}"
566956	"Tuple{typeof(Base.join), Base.GenericIOBuffer{Array{UInt8, 1}}, Array{String, 1}, Char}"
6383186	"Tuple{typeof(Base.print), Base.GenericIOBuffer{Array{UInt8, 1}}, Char, Char}"
3533140	"Tuple{typeof(Base.print), Base.GenericIOBuffer{Array{UInt8, 1}}, String, String}"
3547658	"Tuple{typeof(Base.escape_string), Base.GenericIOBuffer{Array{UInt8, 1}}, String, Tuple{Char, Char}}"
448249	"Tuple{typeof(Base.show), Base.GenericIOBuffer{Array{UInt8, 1}}, Base.Cmd}"
123128	"Tuple{typeof(Base.print), Base.GenericIOBuffer{Array{UInt8, 1}}, Base.Cmd}"
349542	"Tuple{typeof(Base.print_to_string), Base.Cmd}"
3032003	"Tuple{typeof(Base.mapreduce_impl), typeof(Base.success), typeof(Base.:(&)), Array{Base.Process, 1}, Int64, Int64, Int64}"
126418	"Tuple{typeof(Base._mapreduce), typeof(Base.success), typeof(Base.:(&)), Base.IndexLinear, Array{Base.Process, 1}}"
2230909	"Tuple{typeof(Base.compilecache), Base.PkgId, String}"
3749595	"Tuple{typeof(Base._tryrequire_from_serialized), Base.PkgId, UInt64, Nothing}"
414645	"Tuple{typeof(Base._require_from_serialized), String}"
1560063	"Tuple{typeof(Base._require), Base.PkgId}"
390415	"Tuple{typeof(Base.require), Base.PkgId}"
714925	"Tuple{typeof(Base.require), Module, Symbol}"
1393906	"Tuple{getfield(Base, Symbol("##replace#324")), Int64, Function, String, Base.Pair{Base.Fix2{typeof(Base.isequal), Char}, UInt32}}"
1565786	"Tuple{typeof(Base._base), Int64, Int32, Int64, Bool}"
1305999	"Tuple{typeof(Base._base), Int64, UInt32, Int64, Bool}"
99469	"Tuple{getfield(Base, Symbol("##string#307")), Int64, Int64, Function, UInt32}"
1266125	"Tuple{typeof(Base.Filesystem.realpath), String}"
1799787	"Tuple{typeof(Base.map), typeof(Base.Unicode.lowercase), Base.SubString{String}}"
288785	"Tuple{Type{Base.UUID}, Base.SubString{String}}"
426310	"Tuple{getfield(Base, Symbol("##643#644")){String, String}, Base.IOStream}"
144289	"Tuple{getfield(Base, Symbol("##open#296")), Base.Iterators.Pairs{Union{}, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, Function, getfield(Base, Symbol("##643#644")){String, String}, String}"
668620	"Tuple{getfield(Base, Symbol("##open#295")), Nothing, Nothing, Nothing, Nothing, Nothing, Function, String}"
200837	"Tuple{getfield(Base, Symbol("##systemerror#39")), Nothing, Function, Symbol, Bool}"
1996845	"Tuple{getfield(Base, Symbol("##639#640")){String}, Base.IOStream}"
140687	"Tuple{getfield(Base, Symbol("##open#296")), Base.Iterators.Pairs{Union{}, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, Function, getfield(Base, Symbol("##639#640")){String}, String}"
1278132	"Tuple{getfield(Base, Symbol("##641#642")){String}, Base.IOStream}"
128208	"Tuple{getfield(Base, Symbol("##open#296")), Base.Iterators.Pairs{Union{}, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, Function, getfield(Base, Symbol("##641#642")){String}, String}"
2194517	"Tuple{getfield(Base, Symbol("##647#648")){String, Base.PkgId}, Base.IOStream}"
96351	"Tuple{getfield(Base, Symbol("##open#296")), Base.Iterators.Pairs{Union{}, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, Function, getfield(Base, Symbol("##647#648")){String, Base.PkgId}, String}"
249142	"Tuple{typeof(Base.Filesystem.abspath), String, String, Vararg{String, N} where N}"
140942	"Tuple{typeof(Base.Filesystem.joinpath), String, String, String, Vararg{String, N} where N}"
165922	"Tuple{Type{NamedTuple{(:sizehint,), T} where T<:Tuple}, Tuple{Int64}}"
229445	"Tuple{getfield(Core, Symbol("#kw#Type")), NamedTuple{(:sizehint,), Tuple{Int64}}, Type{Base.GenericIOBuffer{Array{UInt8, 1}}}}"
92414	"Tuple{typeof(Base.print), Base.GenericIOBuffer{Array{UInt8, 1}}, String}"
131449	"Tuple{typeof(Base.print), Base.GenericIOBuffer{Array{UInt8, 1}}, UInt32}"
923890	"Tuple{getfield(Base, Symbol("##open#295")), Bool, Nothing, Nothing, Nothing, Nothing, Function, String}"
13958722	"Tuple{typeof(Base.manifest_file_name_uuid), String, String, Base.IOStream}"
1305367	"Tuple{getfield(Base, Symbol("##645#646")){String, Base.UUID, String}, Base.IOStream}"
227661	"Tuple{getfield(Base, Symbol("##open#296")), Base.Iterators.Pairs{Union{}, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, Function, getfield(Base, Symbol("##645#646")){String, Base.UUID, String}, String}"
139629	"Tuple{typeof(Base.show), Base.GenericIOBuffer{Array{UInt8, 1}}, String}"
231542	"Tuple{typeof(Base.isassigned), Core.SimpleVector, Int64}"
127738	"Tuple{getfield(MATH, Symbol("#@∑")), LineNumberNode, Module, Any, Any}"
829634	"Tuple{getfield(Crayons, Symbol("#@crayon_str")), LineNumberNode, Module, String}"
142335	"Tuple{Type{Crayons.ANSIStyle}}"
227548	"Tuple{Type{Crayons.ANSIColor}}"
